runnum,totcharge(C),daqlvtm
12313,0.0460301,0.48226
12320,0.0313638,0.90402
12335,0.0240205,0.947133
12336,0.0385814,0.94477
12340,0.0411478,0.992563
12345,0.0624247,0.963984
12355,0.0747418,0.96467
12358,0.0625424,0.963202
12363,0.0661583,0.961995
12367,0.0159026,0.962976
12368,0.00977882,0.959917
12369,0.0529442,0.9614
12370,0.0476794,0.961026
12380,0.0665846,0.963288
12382,0.0655388,0.964783
12400,0.0388633,0.979312
12401,0.0438347,0.979973
12414,0.0272987,0.97479
12415,0.0383723,0.974791
12427,0.0225132,0.977095
12428,0.0223449,0.978401
12429,0.0133734,0.978304
12471,0.0687635,0.981309
12472,0.00658696,0.97933
12491,0.00539796,0.976053
12496,0.047507,0.977138
12497,0.0744233,0.977336
12524,0.0365397,0.935353
12525,0.0566498,0.934236
12526,0.0389738,0.873065
12548,0.0628051,0.990651
12561,0.0693543,0.991477
12563,0.0688644,0.991349
12575,0.075274,0.991728
12576,0.0530236,0.991479
12587,0.0644463,0.991394
12588,0.0673718,0.991602
12625,0.0349493,0.991873
12626,0.0291036,0.991818
12657,0.0418818,0.987484
12658,0.0206506,0.988443
12675,0.0290791,0.98252
12676,0.033554,0.988805
12677,0.0297664,0.982332
12691,0.0314396,0.968967
12692,0.0307525,0.970687
12704,0.0534928,0.973365
12705,0.0204928,0.976706
12716,0.0712513,0.976617
12730,0.0511156,0.962916
12731,0.0718537,0.977643
12747,0.00115951,0.976871
12758,0.0453372,0.98001
12765,0.0262135,0.973555
12776,0.0507478,0.97569
12777,0.0277777,0.986191
12809,0.0360143,0.97158
12810,0.0123868,0.967657
12812,0.0128231,0.986278
12822,0.0349274,0.98708
12823,0.0353483,0.984969
12895,0.0661107,0.985868
12910,0.05959,0.986775
12923,0.0310937,0.987255
12930,0.0318675,0.987009
12931,0.0573409,0.986576
12959,0.122723,0.986844
12960,0.00204899,0.985163
12973,0.0698776,0.988427
12974,0.0785704,0.988421
13027,0.0696591,0.988307
13028,0.0682289,0.988023
13041,0.0394405,0.988208
13042,0.0708942,0.988365
13043,0.0303618,0.98872
13056,0.0665765,0.987939
13057,0.067772,0.987596
