runnum,totcharge(C),daqlvtm
12314,0.0440307,0.434355
12315,0.0452146,0.910804
12316,0.00898726,0.910469
12318,0.0164236,0.930925
12319,0.0143198,0.914449
12321,0.00515549,0.90284
12322,0.0244069,0.910305
12323,0.00408657,0.908153
12333,0.0873899,0.915104
12337,0.0599664,0.921142
12338,0.0190712,0.921445
12339,0.0358327,0.930817
12341,0.0054298,0.991966
12342,0.0144721,0.992108
12343,0.0120503,0.9924
12344,0.0160235,0.992645
12346,0.0519779,0.946183
12347,0.010298,0.946067
12348,0.0437415,0.942556
12349,0.00859545,0.940354
12356,0.0535093,0.948594
12357,0.00747054,0.949932
12359,0.0577069,0.945122
12360,0.0579585,0.944636
12362,0.0595693,0.94258
12364,0.103423,0.942711
12366,0.0137682,0.943941
12371,0.00282669,0.948841
12372,0.0228393,0.946828
12373,0.0331945,0.944791
12374,0.0295728,0.945549
12375,0.0294369,0.942922
12376,0.0292659,0.940082
12377,0.0296602,0.945781
12378,0.0292717,0.945559
12379,0.0327676,0.94749
12383,0.0312159,0.96974
12384,0.0303347,0.967468
12385,0.00469844,0.970382
12387,0.0316486,0.96774
12388,0.030321,0.967465
12394,0.0347764,0.969029
12395,0.0408374,0.969297
12396,0.0329264,0.969333
12403,0.0258613,0.964953
12404,0.0239907,0.966444
12405,0.0293785,0.95745
12406,0.0301303,0.965474
12407,0.0168077,0.9614
12408,0.0379414,0.945766
12409,0.0150185,0.948775
12410,0.0313716,0.953412
12411,0.00486168,0.946985
12412,0.0179854,0.960448
12416,0.0029208,0.963586
12423,0.00897945,0.996894
12424,0.00853978,0.992226
12425,0.0151059,0.992595
12473,0.0157721,0.971378
12474,0.0428121,0.967845
12478,0.0289925,0.967617
12479,0.0292818,0.965645
12480,0.0285203,0.95597
12481,0.0121433,0.946783
12482,0.016247,0.955274
12485,0.0301329,0.961467
12486,0.027601,0.961135
12498,0.0162078,0.968642
12499,0.0265208,0.967504
12500,0.0068212,0.967133
12501,0.000351186,0.978085
12502,0.0180723,0.906292
12512,0.0307011,0.968005
12513,0.0309957,0.962598
12514,0.0292832,0.968551
12515,0.0167391,0.965649
12516,0.0260071,0.970239
12517,7.85587e-05,1.03082
12521,0.0319314,0.969771
12523,0.0215826,0.924711
12527,0.0235809,0.842353
12532,0.0268895,0.843514
12534,0.0269938,0.880305
12535,0.0162786,0.8847
12536,0.0209012,0.875867
12537,0.0227891,0.892312
12538,0.00488789,0.89581
12539,0.0273828,0.905291
12541,0.0292565,0.969916
12542,0.0297071,0.97087
12543,0.0408449,0.970051
12544,0.0116271,0.969379
12547,0.0304574,0.972771
12549,0.0308769,0.9706
12550,0.0313421,0.970886
12551,0.0293901,0.971287
12552,0.0284438,0.971013
12553,0.0329768,0.969006
12554,0.0292018,0.964452
12556,0.0243386,0.968768
12558,0.0155902,0.947871
12559,0.038516,0.927422
12565,0.0379649,0.954123
12566,0.0392956,0.963119
12567,0.0387171,0.972767
12568,0.0383185,0.968784
12569,0.0418592,0.955539
12570,0.0410193,0.969133
12571,0.0190284,0.952697
12572,0.0380491,0.956578
12574,0.0379548,0.95566
12577,0.00726931,0.960544
12580,0.0428618,0.949994
12581,0.0384817,0.953796
12582,0.037265,0.970012
12583,0.0373525,0.967803
12584,0.0377765,0.957237
12585,0.0383078,0.951513
12586,0.0386498,0.958584
12589,0.0418192,0.955368
12590,0.0241141,0.951126
12592,0.0151632,0.957646
12593,0.0347662,0.968688
12597,0.0382463,0.961787
12598,0.0333886,0.961113
12599,0.00465485,0.968207
12614,0.0381567,0.971273
12618,0.0126259,0.944284
12619,0.0265123,0.947722
12620,0.0246554,0.965108
12623,0.0135031,0.947249
12627,0.037402,0.97064
12628,0.00149413,0.965039
12638,0.0399465,0.947141
12639,0.0056843,0.971042
12641,0.0305879,0.956684
12642,0.00860135,0.971734
12643,0.0337887,0.943109
12644,0.0110741,0.942857
12645,0.0265823,0.960707
12647,0.0171511,0.944835
12653,0.0377997,0.936283
12654,0.000636616,0.963404
12655,0.0378376,0.954059
12656,0.0377384,0.940675
12659,0.0379157,0.951115
12660,0.0361953,0.965233
12661,0.039389,0.965537
12662,0.0165835,0.967041
12664,0.0126762,0.968804
12666,0.00649201,0.96402
12671,0.0464041,0.941382
12673,0.0395827,0.941957
12674,0.0465917,0.921139
12678,0.010902,0.933436
12679,0.0377223,0.925272
12680,0.0380749,0.928398
12681,0.00362505,0.926768
12682,0.0411628,0.931233
12683,0.038366,0.928141
12684,0.0286128,0.933545
12686,0.0388875,0.928643
12687,0.042617,0.927999
12688,0.0254666,0.929246
12693,0.0397379,0.922693
12694,0.037682,0.921683
12695,0.0380838,0.922591
12697,0.0356329,0.922524
12699,0.0303305,0.921301
12700,0.0236671,0.944561
12701,0.0380343,0.944097
12702,0.0375477,0.94475
12706,0.0446275,0.944934
12707,0.0467742,0.946745
12708,0.0452781,0.946358
12709,0.0444928,0.945786
12710,0.0453735,0.946313
12711,0.046035,0.947565
12713,0.00145678,0.947984
12714,0.0472139,0.944582
12715,0.0472666,0.946483
12721,0.0496942,0.94516
12722,0.0418324,0.943702
12726,0.0348747,0.951495
12728,0.0322573,0.950439
12729,0.0505914,0.950317
12732,0.048187,0.947718
12733,0.0252694,0.946473
12734,0.0228194,0.946948
12735,0.0467564,0.945439
12737,0.00477164,0.943512
12738,0.0435297,0.941938
12739,0.000752784,0.951226
12740,0.0305349,0.941823
12742,0.0279123,0.940579
12743,0.0228397,0.943348
12767,0.034853,0.945247
12768,0.0175644,0.945801
12769,0.0321345,0.942329
12770,0.0658545,0.942572
12771,0.0658053,0.942032
12772,0.0703641,0.942157
12773,0.041975,0.942643
12778,0.0637096,0.942146
12779,0.0385107,0.943322
12781,0.0399121,0.94244
12782,0.0245601,0.942006
12796,0.00303239,0.960398
12797,0.0333821,0.943781
12798,0.0319386,0.943735
12799,0.0344482,0.943133
12801,0.0441466,0.943933
12802,0.0399898,0.943912
12813,0.0585459,0.944052
12814,0.0445872,0.942175
12815,0.0458632,0.942247
12816,0.0451735,0.943977
12817,0.0473818,0.943424
12819,0.0451731,0.943866
12820,0.0667768,0.943174
12824,0.0439079,0.944104
12825,0.0444574,0.947312
12826,0.0456494,0.943433
12827,0.0447899,0.943351
12828,0.0458212,0.944026
12829,0.0448648,0.948548
12830,0.0299331,0.946321
12894,0.0461564,0.959117
12896,0.0387931,0.955743
12897,0.0287766,0.957434
12902,0.0181434,0.961659
12903,0.00187624,0.966307
12904,0.0365614,0.958677
12906,0.0392034,0.958178
12907,0.0488007,0.958999
12908,0.0403735,0.958898
12909,0.0489636,0.958795
12911,0.00416045,0.962789
12912,0.0378917,0.958356
12913,0.00452048,0.954967
12914,0.0149766,0.956956
12915,0.0281131,0.957212
12916,0.0376072,0.957156
12917,0.0377691,0.958021
12918,0.0383568,0.95696
12919,0.0376852,0.957251
12920,0.0406573,0.957468
12921,0.013516,0.957466
12932,0.0401667,0.959457
12933,0.036749,0.96004
12934,0.0195017,0.947551
12935,0.0407854,0.959899
12936,0.0377189,0.96129
12939,0.0446115,0.961073
12940,0.0397636,0.961869
12946,0.0149988,0.961404
12957,0.0359213,0.961289
12961,0.0388341,0.961492
12962,0.0193925,0.962537
12963,0.0140531,0.960803
12965,0.0505289,0.966526
12968,0.0395007,0.965823
12969,0.0430789,0.966343
12970,0.0420064,0.969835
12971,0.0441512,0.973632
12972,0.0353741,0.973238
12975,0.0192802,0.973367
12976,0.024976,0.973663
12977,0.0116019,0.972935
12979,0.00637626,0.972132
12980,0.0100216,0.972215
12982,0.0482115,0.977495
12983,0.0479247,0.976837
12984,0.00932266,0.977529
12986,0.0490543,0.978532
12987,0.0493038,0.977267
12988,0.0497797,0.974134
12989,0.013439,0.978394
13000,0.0420172,0.971362
13029,0.0428072,0.972116
13030,0.045528,0.971761
13034,0.0435832,0.971868
13035,0.0336411,0.972237
13036,0.0163112,0.972507
13038,0.0627802,0.973625
13039,0.0497984,0.973174
13040,0.0528696,0.973925
13044,0.0436298,0.973817
13045,0.041113,0.974346
13048,0.00102802,0.97284
13049,0.0423277,0.971078
13050,0.0416158,0.969337
13051,0.0404009,0.96741
13052,0.0309938,0.966828
13053,0.0207277,0.967993
13054,0.0410317,0.967331
13055,0.0306249,0.971202
13058,0.0436778,0.972819
13059,0.0369446,0.972785
13060,0.0441717,0.973199
13061,0.0446735,0.973333
13062,0.0462391,0.97262
13063,0.0486673,0.973176
